date,open,close,high,low,volume
2025-08-05,48.7,47.67,48.72,47.46,21710826.0
2025-08-06,47.68,48.19,48.47,47.02,20913573.0
2025-08-07,47.98,48.18,48.4,47.2,20031523.0
2025-08-08,48.09,48.42,49.3,47.3,26003656.0
2025-08-11,48.3,49.99,50.04,48.19,26217819.0
2025-08-12,50.05,50.88,51.18,49.5,25536274.0
2025-08-13,51.88,51.21,52.15,50.52,30394759.0
2025-08-14,51.21,50.48,52.0,50.3,28199603.0
2025-08-15,50.2,52.42,52.99,50.1,33004941.0
2025-08-18,52.64,56.85,58.7,52.3,49828728.0
2025-08-19,57.0,55.96,57.3,55.68,31543249.0
2025-08-20,55.28,56.77,56.88,54.33,29532582.0
2025-08-21,56.77,56.23,58.4,55.7,30612817.0
2025-08-22,56.86,59.33,60.77,56.31,48759648.0
2025-08-25,61.2,60.6,63.93,59.62,47704032.0
2025-08-26,59.38,59.96,61.82,58.85,32392623.0
2025-08-27,60.14,60.28,63.5,59.98,43476912.0
2025-08-28,59.93,61.3,61.38,58.34,40576510.0
2025-08-29,60.0,58.97,60.0,56.3,52434866.0
2025-09-01,61.0,58.19,61.93,57.95,41105625.0
2025-09-02,57.77,53.5,58.66,52.0,61919689.0
2025-09-03,53.14,52.25,53.5,51.8,25317147.0
2025-09-04,52.31,49.96,52.46,49.03,32994121.0
2025-09-05,50.0,53.43,53.66,49.01,37970474.0
2025-09-08,53.52,53.14,53.95,52.24,28916042.0
2025-09-09,53.0,51.42,53.23,50.29,26120048.0
2025-09-10,51.28,51.92,52.99,51.01,26206597.0
2025-09-11,51.0,53.15,53.51,50.78,37828545.0
2025-09-12,55.21,54.46,57.15,54.4,53254710.0
2025-09-15,53.68,53.2,54.33,52.58,32119272.0
2025-09-16,53.41,54.83,55.38,52.8,37874837.0
2025-09-17,54.5,54.4,54.72,53.41,27860599.0
2025-09-18,54.39,53.42,55.97,52.6,43655093.0
2025-09-19,53.62,52.37,53.94,52.01,26722703.0
2025-09-22,52.51,53.45,54.0,52.21,24685753.0
2025-09-23,54.15,52.56,54.25,51.13,27615225.0
2025-09-24,51.91,54.22,54.5,51.66,32882666.0
2025-09-25,54.6,55.92,57.35,54.56,54156022.0
2025-09-26,55.22,52.85,55.87,52.81,38340911.0
2025-09-29,52.88,53.1,53.4,52.39,20442779.0
2025-09-30,53.57,53.35,54.93,53.11,24922385.0
2025-10-09,53.2,54.28,55.04,52.52,31729557.0
2025-10-10,52.55,50.25,52.57,49.22,49587051.0
2025-10-13,47.5,49.93,50.07,47.4,22268093.0
2025-10-14,49.93,48.0,50.05,47.65,21398943.0
2025-10-15,47.99,48.14,48.23,46.54,20067329.0
2025-10-16,47.71,47.21,47.71,46.8,16460356.0
2025-10-17,47.21,45.45,47.33,45.45,18522722.0
2025-10-20,45.84,45.83,46.44,45.45,11954622.0
2025-10-21,45.92,45.93,46.3,45.81,13252400.0
2025-10-22,45.93,45.94,46.43,45.45,10469068.0
2025-10-23,46.05,46.07,46.38,44.85,14646854.0
2025-10-24,46.15,46.68,46.8,46.13,14365361.0
2025-10-27,46.97,46.73,47.4,46.36,16237571.0
2025-10-28,46.6,47.22,47.49,46.37,17445115.0
2025-10-29,47.0,47.1,47.48,46.7,14083902.0
2025-10-30,49.5,49.83,51.22,49.5,64853996.0
2025-10-31,48.62,50.53,51.24,48.17,43797987.0
2025-11-03,50.8,52.18,52.99,49.78,42105663.0
2025-11-04,51.24,50.62,51.5,50.16,26525637.0
2025-11-05,49.44,50.17,50.59,49.02,18934597.0
2025-11-06,50.24,50.36,50.9,49.7,20171886.0
2025-11-07,49.86,49.38,50.56,49.38,17583573.0
2025-11-10,49.01,48.84,49.78,48.45,16075836.0
2025-11-11,49.0,47.62,49.18,47.54,16895889.0
2025-11-12,47.53,47.2,47.72,46.43,14618950.0
2025-11-13,47.0,48.48,48.5,46.5,16270085.0
2025-11-14,47.88,46.65,47.96,46.63,15918744.0
2025-11-17,46.48,47.4,47.67,46.41,13252549.0
2025-11-18,47.26,47.88,48.47,46.94,14722301.0
2025-11-19,48.0,46.93,48.0,46.7,12117220.0
2025-11-20,47.01,46.45,47.29,46.44,9130771.0
2025-11-21,45.83,45.64,46.59,45.53,14207341.0
2025-11-24,45.87,47.4,47.78,45.11,18005022.0
2025-11-25,47.61,47.76,48.4,47.31,16230147.0
2025-11-26,47.48,48.52,49.08,47.37,20357895.0
2025-11-27,48.34,47.86,48.8,47.86,14791655.0
2025-11-28,48.1,47.72,48.58,47.43,11342914.0
2025-12-01,48.09,50.71,51.84,47.51,49134673.0
2025-12-02,51.03,50.1,52.0,49.9,32699061.0
2025-12-03,50.03,48.5,50.24,48.4,20163295.0
2025-12-04,48.5,48.5,48.97,47.76,15078267.0
2025-12-05,48.47,48.01,48.6,47.6,13593606.0
2025-12-08,47.89,49.15,49.49,47.77,22767185.0
2025-12-09,52.08,50.2,53.58,50.12,59899142.0
2025-12-10,50.18,50.85,51.21,49.16,32139904.0
2025-12-11,50.86,49.96,51.19,49.7,22223586.0
2025-12-12,49.62,53.41,54.17,49.62,73704274.0
2025-12-15,52.59,53.03,54.23,52.59,33355548.0
2025-12-16,52.99,51.53,53.6,51.3,22051205.0
2025-12-17,51.31,53.0,53.08,51.05,27403411.0
2025-12-18,52.41,50.12,52.52,50.05,33264448.0
2025-12-19,50.36,49.79,50.68,49.61,21908998.0
2025-12-22,49.92,50.15,50.55,49.61,18078234.0
2025-12-23,51.52,50.43,52.0,50.15,21027064.0
2025-12-24,50.1,50.53,51.1,49.68,19299947.0
2025-12-25,50.39,50.65,50.99,50.02,17909495.0
2025-12-26,50.5,50.07,50.9,50.0,19724999.0
2025-12-29,50.28,50.49,51.65,50.23,23152141.0
2025-12-30,50.69,51.42,52.17,50.42,29406848.0
2025-12-31,51.6,52.8,53.58,50.95,40172574.0
2026-01-05,54.19,55.99,57.28,53.79,67147278.0
2026-01-06,55.51,57.63,58.69,54.82,63706517.0
2026-01-07,58.16,60.58,63.0,57.2,85094194.0
2026-01-08,60.0,59.81,61.68,58.3,61667207.0
2026-01-09,62.21,69.2,71.77,62.21,113906943.0
2026-01-12,73.01,83.04,83.04,70.2,124363159.0
2026-01-13,83.3,80.56,88.64,76.0,119013476.0
2026-01-14,80.48,90.71,93.13,80.48,127172021.0
2026-01-15,85.1,81.03,87.25,79.75,106231718.0
2026-01-16,79.16,79.17,84.16,78.78,82723264.0
2026-01-19,77.76,76.21,80.51,75.9,70286235.0
2026-01-20,77.0,75.41,78.19,74.4,56681745.0
2026-01-21,74.12,74.8,76.94,73.5,52594163.0
2026-01-22,76.32,78.04,79.33,74.88,79028613.0
2026-01-23,78.3,78.32,80.2,77.62,71591054.0
2026-01-26,82.0,83.25,84.77,80.18,98456972.0
2026-01-27,82.6,81.37,83.88,79.98,71439155.0
2026-01-28,83.2,80.85,84.73,80.0,83084269.0
2026-01-29,78.0,80.01,85.51,76.18,86104939.0
2026-01-30,81.0,81.83,83.49,79.06,66434158.0
2026-02-02,82.0,84.66,87.88,80.8,91082796.0
2026-02-03,85.5,88.4,88.5,83.0,90716224.0
2026-02-04,86.0,82.18,86.66,80.11,75167818.0
2026-02-05,78.29,76.5,80.25,75.75,56480200.0
2026-02-24,91.8,86.8,91.8,85.07,118585699.0
2026-02-25,88.02,86.8,89.24,84.68,87301318.0
2026-02-26,90.04,102.17,104.16,90.04,150344469.0
2026-02-27,97.89,103.39,106.33,97.6,126191146.0
2026-03-02,102.49,98.7,103.1,97.79,92097076.0
2026-03-03,101.02,96.49,102.4,94.18,107343273.0
2026-03-04,93.13,94.6,98.36,92.7,73743073.0
2026-03-05,99.48,94.7,99.5,93.18,81984588.0
2026-03-06,92.3,93.16,96.29,90.6,58232606.0
2026-03-09,91.0,96.35,98.7,87.54,82904497.0
2026-03-10,99.0,95.51,99.9,94.21,67623581.0
2026-03-11,94.33,91.12,96.3,91.08,62205781.0
2026-03-12,91.12,88.69,92.98,87.39,55915861.0
2026-03-13,87.92,83.54,88.41,83.42,61855598.0
2026-03-16,83.55,83.32,83.88,81.35,37882100.0
2026-03-17,84.4,81.15,84.51,81.03,34520988.0
2026-03-18,82.4,86.91,87.15,81.68,61173300.0
2026-03-19,84.3,89.75,93.33,84.1,80037893.0
2026-03-20,88.0,85.97,89.58,85.31,51861860.0
2026-03-23,84.44,85.31,88.0,83.75,43854937.0
2026-03-24,86.0,84.4,86.8,81.49,37251718.0
2026-03-25,85.6,87.65,89.9,85.58,52901286.0
2026-03-26,86.78,84.28,87.85,84.08,36632716.0
2026-03-27,83.52,83.45,84.57,82.05,26949466.0
2026-03-30,81.5,82.8,83.35,80.54,28011357.0
2026-03-31,82.62,80.8,84.31,80.8,27794981.0
2026-04-01,83.38,84.54,85.32,82.9,44151355.0
2026-04-02,84.0,80.27,84.47,79.89,40191483.0
2026-04-03,81.79,81.0,82.48,80.25,26954021.0
2026-04-07,80.96,79.51,81.81,78.5,27672803.0
2026-04-08,83.1,86.91,86.92,82.95,58224376.0
2026-04-09,85.5,87.29,87.5,85.0,48229199.0
2026-04-10,88.0,87.04,88.88,86.0,58771905.0
2026-04-13,85.3,89.22,91.02,85.0,54884587.0
2026-04-14,92.0,91.14,94.66,89.94,66362821.0
2026-04-15,92.0,90.26,92.99,89.82,50810292.0
2026-04-16,90.26,95.78,97.98,90.26,76504376.0
2026-04-17,94.0,94.29,95.76,94.0,55246594.0
2026-04-20,94.5,95.2,96.55,93.33,53453292.0
2026-04-21,93.94,90.05,93.94,89.63,58145490.0
2026-04-22,89.98,93.5,93.94,89.2,57337233.0
2026-04-23,92.88,95.87,99.65,92.68,74672868.0
2026-04-24,94.78,92.95,95.15,90.0,60354870.0
2026-04-27,93.01,90.12,94.0,89.6,48086088.0
2026-04-28,90.5,88.31,91.5,88.09,38247058.0
2026-04-29,87.38,90.44,92.95,86.63,45959165.0
2026-04-30,89.98,89.06,91.0,87.05,38905836.0
2026-05-06,93.0,96.21,99.88,93.0,88201288.0
2026-05-07,96.3,97.45,98.2,95.35,61899923.0
2026-05-08,96.01,98.08,100.9,95.08,66076585.0
2026-05-11,102.98,97.91,103.0,96.0,75245436.0
2026-05-12,96.68,91.38,97.2,91.07,79883855.0
2026-05-13,90.9,101.62,105.0,90.01,112711225.0
